time,open,high,low,close,tick_volume,spread,real_volume
2024-01-02 01:00:00,2063.69,2066.53,2062.8,2063.76,1774,4,0
2024-01-02 02:00:00,2063.8,2065.91,2062.26,2065.48,1880,4,0
2024-01-02 03:00:00,2065.48,2069.86,2064.88,2066.66,4280,4,0
2024-01-02 04:00:00,2066.64,2068.42,2064.04,2067.88,2863,4,0
2024-01-02 05:00:00,2067.88,2070.4,2066.54,2069.68,1979,4,0
2024-01-02 06:00:00,2069.68,2070.68,2068.98,2069.68,1664,4,0
2024-01-02 07:00:00,2069.74,2074.83,2069.57,2074.49,2475,4,0
2024-01-02 08:00:00,2074.68,2076.7,2072.96,2074.23,2764,7,0
2024-01-02 09:00:00,2074.16,2076.43,2073.2,2073.2,3686,4,0
2024-01-02 10:00:00,2073.26,2074.6,2071.88,2073.35,4441,4,0
2024-01-02 11:00:00,2073.35,2078.88,2073.32,2077.04,3709,4,0
2024-01-02 12:00:00,2077.06,2077.77,2073.54,2075.96,3507,4,0
2024-01-02 13:00:00,2075.96,2076.16,2068.35,2069.22,4274,4,0
2024-01-02 14:00:00,2069.23,2069.5,2065.1,2067.96,4282,4,0
2024-01-02 15:00:00,2067.95,2071.1,2064.9,2066.25,6003,4,0
2024-01-02 16:00:00,2066.3,2070.46,2062.21,2070.35,7453,4,0
2024-01-02 17:00:00,2070.39,2070.68,2056.04,2059.4,8087,4,0
2024-01-02 18:00:00,2059.48,2067.59,2059.25,2066.15,6021,4,0
2024-01-02 19:00:00,2066.13,2066.96,2061.86,2062.73,4146,4,0
2024-01-02 20:00:00,2062.81,2064.99,2060.61,2061.2,3229,4,0
2024-01-02 21:00:00,2061.2,2062.2,2060.48,2060.9,2271,4,0
2024-01-02 22:00:00,2060.96,2061.63,2058.0,2058.22,2337,4,0
2024-01-02 23:00:00,2058.51,2059.29,2058.08,2058.91,941,4,0
2024-01-03 01:00:00,2059.26,2060.12,2058.73,2059.66,1182,4,0
2024-01-03 02:00:00,2059.69,2062.13,2059.3,2060.27,1972,2,0
2024-01-03 03:00:00,2060.28,2062.59,2059.58,2062.53,3266,4,0
2024-01-03 04:00:00,2062.56,2065.22,2061.62,2064.71,2494,4,0
2024-01-03 05:00:00,2064.69,2065.58,2063.36,2065.14,1884,4,0
2024-01-03 06:00:00,2065.08,2065.61,2064.46,2064.87,1086,4,0
